,mch_0,eta_0,e_eta,p_bns,p_bhns,p_gap,p_bbh,p_ns
0,0.5,-7.0,0.25,0.0,0.9999999999999998,0.0,0.0,1.0
1,0.5,-7.0,0.5,0.0,1.0,0.0,0.0,1.0
2,0.5,-7.0,0.75,0.0,1.0000000000000002,0.0,0.0,1.0
3,0.5,-7.0,1.0,1.0522012924980678e-190,0.9999999999999998,0.0,0.0,1.0
4,0.5,-7.0,1.25,9.020859851742201e-123,1.0,0.0,0.0,1.0
5,0.5,-7.0,1.5,6.771216565835893e-86,0.9999999999999998,0.0,0.0,1.0
6,0.5,-7.0,1.75,1.1121879345626386e-63,1.0,0.0,0.0,1.0
7,0.5,-7.0,2.0,2.820711465810757e-49,1.0000000000000004,0.0,0.0,1.0
8,0.5,-7.0,2.25,2.062642435384959e-39,1.0000000000000002,0.0,0.0,1.0
9,0.5,-7.0,2.5,2.295955309483558e-32,1.0,0.0,0.0,1.0
10,0.5,-7.0,2.75,3.690357313673196e-27,1.0,0.0,0.0,1.0
11,0.5,-7.0,3.0,3.3146081045287063e-23,1.0000000000000002,0.0,0.0,1.0
12,0.5,-7.0,3.25,3.905935664849691e-20,1.0,0.0,0.0,1.0
13,0.5,-7.0,3.5,1.0570607967015731e-17,1.0,0.0,0.0,1.0
14,0.5,-7.0,3.75,9.603237060921179e-16,0.9999999999999988,0.0,0.0,1.0
15,0.5,-7.0,4.0,3.8163766580061984e-14,0.9999999999999617,0.0,0.0,1.0
16,0.5,-7.0,4.25,8.016001164028561e-13,0.9999999999991983,0.0,0.0,1.0
17,0.5,-7.0,4.5,1.0216561023598957e-11,0.9999999999897834,0.0,0.0,1.0
18,0.5,-7.0,4.75,8.755665169568295e-11,0.9999999999124435,0.0,0.0,1.0
19,0.5,-7.0,5.0,5.452958238573938e-10,0.9999999994547043,0.0,0.0,1.0
20,0.5,-7.0,5.25,2.619463817847289e-09,0.9999999973805364,0.0,0.0,1.0
21,0.5,-7.0,5.5,1.0166149790267606e-08,0.9999999898338504,0.0,0.0,1.0
22,0.5,-7.0,5.75,3.3060359330832274e-08,0.9999999669396404,0.0,0.0,1.0
23,0.5,-7.0,6.0,9.274149844824298e-08,0.9999999072585015,0.0,0.0,1.0
24,0.5,-7.0,6.25,2.2971590435336673e-07,0.9999997702840958,0.0,0.0,1.0
25,0.5,-7.0,6.5,5.120115536789038e-07,0.9999994879884462,0.0,0.0,1.0
26,0.5,-7.0,6.75,1.0429542808434254e-06,0.9999989570457193,0.0,0.0,1.0
27,0.5,-7.0,7.0,1.9664877794965663e-06,0.9999980335122205,0.0,0.0,1.0
28,0.5,-7.0,7.25,3.4686467920657137e-06,0.9999965313532083,0.0,0.0,1.0
29,0.5,-7.0,7.5,5.774546544868664e-06,0.9999942254534553,0.0,0.0,1.0
30,0.5,-7.0,7.75,9.141101410076521e-06,0.9999908588985899,0.0,0.0,1.0
31,0.5,-7.0,8.0,1.3846389744174711e-05,0.9999861536102561,0.0,0.0,1.0
32,0.5,-7.0,8.25,2.0177001100612907e-05,0.9999798229988992,0.0,0.0,1.0
33,0.5,-7.0,8.5,2.8414811347315768e-05,0.9999715851886527,0.0,0.0,1.0
34,0.5,-7.0,8.75,3.882448727411931e-05,0.9999611755127261,0.0,0.0,1.0
